Fecha,Anio,Mes,Linea,Afluencia
18/03/2009,2009,3,Linea 1,321454
19/03/2009,2009,3,Linea 1,320870
03/04/2009,2009,4,Linea 1,354145
04/04/2009,2009,4,Linea 1,192746
05/04/2009,2009,4,Linea 1,93253
09/04/2009,2009,4,Linea 1,116124
10/04/2009,2009,4,Linea 1,80317
11/04/2009,2009,4,Linea 1,95485
13/04/2009,2009,4,Linea 1,282101
15/04/2009,2009,4,Linea 1,317221
16/04/2009,2009,4,Linea 1,321546
18/04/2009,2009,4,Linea 1,181927
21/04/2009,2009,4,Linea 1,322313
25/04/2009,2009,4,Linea 1,138532
27/04/2009,2009,4,Linea 1,230327
28/04/2009,2009,4,Linea 1,210076
02/05/2009,2009,5,Linea 1,82925
03/05/2009,2009,5,Linea 1,53075
05/05/2009,2009,5,Linea 1,130001
06/05/2009,2009,5,Linea 1,252703
08/05/2009,2009,5,Linea 1,308882
09/05/2009,2009,5,Linea 1,157502
17/05/2009,2009,5,Linea 1,92945
18/05/2009,2009,5,Linea 1,314496
22/05/2009,2009,5,Linea 1,333268
23/05/2009,2009,5,Linea 1,183373
24/05/2009,2009,5,Linea 1,102210
28/05/2009,2009,5,Linea 1,333159
30/05/2009,2009,5,Linea 1,173361
05/06/2009,2009,6,Linea 1,346745
06/06/2009,2009,6,Linea 1,174709
08/06/2009,2009,6,Linea 1,305435
12/06/2009,2009,6,Linea 1,338708
13/06/2009,2009,6,Linea 1,173757
15/06/2009,2009,6,Linea 1,311044
19/06/2009,2009,6,Linea 1,332065
20/06/2009,2009,6,Linea 1,173569
21/06/2009,2009,6,Linea 1,91123
25/06/2009,2009,6,Linea 1,311456
02/07/2009,2009,7,Linea 1,313525
06/07/2009,2009,7,Linea 1,295616
08/07/2009,2009,7,Linea 1,308954
17/07/2009,2009,7,Linea 1,303075
21/07/2009,2009,7,Linea 1,288519
24/07/2009,2009,7,Linea 1,290872
28/07/2009,2009,7,Linea 1,285265
30/07/2009,2009,7,Linea 1,302208
31/07/2009,2009,7,Linea 1,319008
01/08/2009,2009,8,Linea 1,171375
03/08/2009,2009,8,Linea 1,298185
11/08/2009,2009,8,Linea 1,307627
16/08/2009,2009,8,Linea 1,97656
22/08/2009,2009,8,Linea 1,182688
25/08/2009,2009,8,Linea 1,315834
27/08/2009,2009,8,Linea 1,320082
08/09/2009,2009,9,Linea 1,326111
10/09/2009,2009,9,Linea 1,327925
16/09/2009,2009,9,Linea 1,84356
17/09/2009,2009,9,Linea 1,321901
21/09/2009,2009,9,Linea 1,325178
23/09/2009,2009,9,Linea 1,331171
29/09/2009,2009,9,Linea 1,337261
30/09/2009,2009,9,Linea 1,337400
01/10/2009,2009,10,Linea 1,338132
07/10/2009,2009,10,Linea 1,332220
11/10/2009,2009,10,Linea 1,98621
17/10/2009,2009,10,Linea 1,195494
21/10/2009,2009,10,Linea 1,330193
28/10/2009,2009,10,Linea 1,332840
29/10/2009,2009,10,Linea 1,331717
30/10/2009,2009,10,Linea 1,348535
01/11/2009,2009,11,Linea 1,92919
03/11/2009,2009,11,Linea 1,326261
04/11/2009,2009,11,Linea 1,327336
05/11/2009,2009,11,Linea 1,333444
07/11/2009,2009,11,Linea 1,195952
09/11/2009,2009,11,Linea 1,323318
12/11/2009,2009,11,Linea 1,334895
15/11/2009,2009,11,Linea 1,111762
24/11/2009,2009,11,Linea 1,326507
26/11/2009,2009,11,Linea 1,329324
