Dia de la semana,Dia,Mes,Anio,Contador Ruta Reforma222,Contador Ruta Revolucion,Contador Ruta Patriotismo
jueves,19,2,2015,2697,,
martes,3,2,2015,2686,,
domingo,1,3,2015,1199,,
lunes,26,1,2015,2725,,
sabado,17,1,2015,1701,,
viernes,23,1,2015,2769,,
miercoles,9,3,2016,1848,,
domingo,31,1,2016,1357,,
viernes,11,3,2016,2533,,
jueves,17,3,2016,2577,,
lunes,25,1,2016,2594,,
domingo,16,11,2014,1019,,
domingo,13,9,2015,975,,
martes,15,9,2015,2098,,
lunes,14,9,2015,213,,
domingo,21,6,2015,872,,
domingo,7,6,2015,1135,,
viernes,5,6,2015,2399,,
sabado,18,7,2015,1237,,
sabado,8,8,2015,1338,,
sabado,1,8,2015,1249,,
lunes,13,7,2015,2585,,
sabado,18,4,2015,2673,,
jueves,16,4,2015,298,,
martes,3,3,2015,3034,,
sabado,19,1,2019,2194,678,718
jueves,24,1,2019,4077,658,1223
miercoles,30,1,2019,0,716,1410
viernes,8,2,2019,3904,1003,1318
sabado,9,2,2019,2369,472,706
jueves,21,2,2019,3870,680,1432
lunes,25,3,2019,3687,780,1362
viernes,29,3,2019,4045,703,1303
miercoles,10,4,2019,4220,1170,1502
sabado,6,7,2019,1964,464,644
jueves,25,7,2019,2226,626,883
lunes,22,7,2019,3541,813,1108
domingo,28,7,2019,2099,465,597
viernes,22,11,2013,205,,
miercoles,14,9,2016,2875,917,1011
sabado,17,9,2016,1244,430,403
miercoles,28,9,2016,2028,552,631
jueves,6,10,2016,3013,917,1092
miercoles,26,10,2016,3014,1002,111
lunes,31,10,2016,2437,826,940
sabado,19,11,2016,1132,449,434
lunes,12,12,2016,2336,787,919
miercoles,28,12,2016,2116,665,667
domingo,1,1,2017,636,273,435
jueves,5,1,2017,2819,895,906
miercoles,22,2,2017,3273,1155,1335
domingo,26,3,2017,1129,548,775
domingo,7,5,2017,115,560,624
sabado,27,5,2017,156,688,663
domingo,28,5,2017,1485,556,950
viernes,2,6,2017,2992,1051,1177
jueves,22,6,2017,3366,1134,1469
domingo,25,6,2017,1286,590,1001
lunes,26,6,2017,2335,883,1129
domingo,16,7,2017,3013,600,679
martes,18,7,2017,17327,914,1111
sabado,16,9,2017,,386,426
miercoles,20,9,2017,,,121
sabado,30,9,2017,,,319
domingo,8,10,2017,,,480
miercoles,11,10,2017,,,1134
lunes,16,10,2017,,,1119
jueves,26,10,2017,,,127
miercoles,1,11,2017,3272,,1133
jueves,16,11,2017,3643,1166,1397
domingo,10,12,2017,991,526,478
lunes,1,1,2018,,184,215
viernes,12,1,2018,,1097,1218
lunes,22,1,2018,,1013,1158
viernes,2,2,2018,2956,1042,116
viernes,16,2,2018,3245,2015,1195
lunes,19,2,2018,3286,1534,1277
jueves,1,3,2018,3315,1261,1331
lunes,19,3,2018,152,549,552
martes,5,6,2018,3324,1192,1304
jueves,7,6,2018,3311,1142,136
sabado,16,6,2018,1276,536,571
domingo,1,7,2018,1249,536,577
jueves,5,7,2018,3162,973,1163
domingo,15,7,2018,113,488,570
sabado,21,7,2018,1732,646,621
sabado,11,8,2018,,607,
domingo,12,8,2018,,496,
martes,4,9,2018,3336,979,
martes,11,9,2018,2747,970,1289
sabado,22,9,2018,1714,658,766
martes,2,10,2018,3614,1079,1387
domingo,7,10,2018,1565,601,614
lunes,8,10,2018,3252,944,1276
domingo,14,10,2018,1816,638,685
lunes,22,10,2018,3472,914,1295
sabado,3,11,2018,2754,417,781
lunes,5,11,2018,3323,673,1181
viernes,16,11,2018,3658,907,1212
sabado,1,12,2018,1926,557,616
miercoles,9,7,2014,2192,,
martes,15,7,2014,2152,,
lunes,21,7,2014,2346,,
viernes,25,7,2014,2261,,
martes,29,7,2014,2242,,
martes,5,8,2014,2651,,
lunes,11,8,2014,2091,,
viernes,15,8,2014,2204,,
martes,26,8,2014,2684,,
sabado,4,10,2014,1147,,
domingo,5,10,2014,106,,
martes,21,10,2014,2473,,
martes,28,10,2014,2746,,
domingo,30,11,2014,1374,,
lunes,22,12,2014,1879,,
lunes,5,1,2015,1803,,
martes,6,1,2015,1879,,
lunes,12,1,2015,2582,,
jueves,5,2,2015,2799,,
viernes,13,2,2015,2292,,
viernes,27,2,2015,2857,,
martes,31,3,2015,2677,,
domingo,5,4,2015,1267,,
jueves,9,4,2015,2953,,
sabado,16,5,2015,1343,,
sabado,6,6,2015,1061,,
miercoles,10,6,2015,2905,,
jueves,11,6,2015,2862,,
viernes,19,6,2015,2589,,
jueves,25,6,2015,2833,,
domingo,20,9,2015,1276,,
jueves,8,10,2015,2914,,
sabado,10,10,2015,1386,,
lunes,26,10,2015,2551,,
sabado,7,11,2015,1501,,
jueves,26,11,2015,327,,
domingo,6,12,2015,800,,
domingo,6,3,2016,1055,,
sabado,19,3,2016,1331,,
miercoles,23,3,2016,2235,,
domingo,24,4,2016,1581,,
domingo,8,5,2016,879,,
sabado,21,5,2016,1379,,
jueves,16,6,2016,283,855,901
martes,19,7,2016,2878,803,837
sabado,14,12,2013,1266,,
domingo,15,12,2013,914,,
lunes,16,12,2013,2215,,
viernes,10,1,2014,2349,,
lunes,3,2,2014,1236,,
martes,7,1,2014,2062,,
jueves,9,1,2014,2203,,
sabado,8,3,2014,1838,,
martes,11,3,2014,274,,
jueves,13,3,2014,285,,
domingo,25,5,2014,1347,,
lunes,30,6,2014,1515,,
miercoles,23,4,2014,2428,,
miercoles,21,5,2014,2693,,
sabado,29,3,2014,1298,,
lunes,21,4,2014,2097,,
sabado,4,5,2019,2139,616,659
sabado,18,5,2019,1963,641,632
viernes,24,5,2019,3713,1061,1211
lunes,7,1,2019,3521,770,1202
lunes,21,1,2019,3808,982,1238
lunes,4,2,2019,1946,430,638
lunes,11,2,2019,3818,629,1435
martes,5,3,2019,3229,806,1318
martes,12,3,2019,4029,941,1392
domingo,21,4,2019,1680,527,559
domingo,30,6,2019,1758,457,639
sabado,29,6,2019,1601,565,661
martes,16,7,2019,3631,825,1139
jueves,1,8,2019,3717,945,1239
lunes,5,8,2019,2723,706,977
martes,6,8,2019,3155,950,1200
domingo,11,8,2019,1515,540,497
domingo,18,8,2019,1700,547,562
lunes,19,8,2019,3315,844,1157
miercoles,21,8,2019,3759,922,1277
lunes,26,8,2019,3438,994,1142
martes,27,8,2019,3674,975,1255
viernes,30,8,2019,3685,966,1155
lunes,2,9,2019,3655,898,1216
miercoles,4,9,2019,3881,973,1351
sabado,7,9,2019,2005,613,688
domingo,8,9,2019,1816,598,605
martes,10,9,2019,3033,826,1106
miercoles,11,9,2019,3360,851,1157
viernes,13,9,2019,3342,881,1097
martes,17,9,2019,3000,901,1084
jueves,19,9,2019,2870,763,987
domingo,22,9,2019,1784,614,662
lunes,23,9,2019,3630,923,1203
miercoles,25,9,2019,2584,843,1112
viernes,27,9,2019,3740,1034,1211
sabado,28,9,2019,1990,582,619
jueves,5,9,2019,3727,976,1290
viernes,6,9,2019,3840,953,1158
lunes,9,9,2019,3553,975,1262
jueves,12,9,2019,3586,929,1162
domingo,15,9,2019,1662,498,506
miercoles,18,9,2019,2923,795,1038
sabado,21,9,2019,2341,650,738
jueves,26,9,2019,3868,989,1251
domingo,4,8,2019,1702,530,588
viernes,9,8,2019,3199,833,1185
sabado,10,8,2019,1972,625,741
lunes,12,8,2019,3183,867,1113
martes,13,8,2019,3522,910,1204
miercoles,14,8,2019,3685,970,1244
jueves,15,8,2019,3651,885,1228
viernes,16,8,2019,3580,908,1204
sabado,17,8,2019,1990,500,619
jueves,22,8,2019,3437,878,1123
viernes,23,8,2019,3376,829,1159
sabado,24,8,2019,1957,635,714
viernes,15,6,2018,2062,623,649
viernes,13,7,2018,2332,802,973
viernes,6,7,2018,2835,871,108
jueves,14,6,2018,1465,574,593
domingo,2,9,2018,1573,504,
jueves,1,11,2018,2677,613,875
sabado,6,10,2018,1743,678,796
domingo,26,5,2019,1848,611,678
lunes,27,5,2019,3745,1067,1303
miercoles,9,4,2014,2698,,
martes,29,4,2014,244,,
lunes,31,3,2014,2519,,
viernes,18,7,2014,1963,,
sabado,2,8,2014,1503,,
miercoles,22,10,2014,2385,,
martes,9,9,2014,2174,,
lunes,8,9,2014,1967,,
jueves,23,10,2014,2729,,
jueves,2,10,2014,2434,,
miercoles,12,11,2014,2679,,
sabado,1,11,2014,1529,,
martes,2,12,2014,2652,,
viernes,27,3,2015,2541,,
martes,10,3,2015,2827,,
jueves,29,1,2015,2856,,
miercoles,3,12,2014,2664,,
lunes,29,12,2014,1829,,
domingo,11,1,2015,1338,,
viernes,2,1,2015,1473,,
viernes,5,8,2016,2443,747,778
viernes,29,7,2016,1418,766,816
miercoles,20,7,2016,2809,837,863
viernes,22,7,2016,2216,653,703
viernes,29,4,2016,2763,,
jueves,18,8,2016,2848,827,921
miercoles,9,1,2019,3730,964,1415
viernes,11,1,2019,3846,964,1451
domingo,20,1,2019,1949,376,615
martes,1,1,2019,1406,242,290
lunes,13,1,2014,2255,,
miercoles,19,2,2014,3107,,
sabado,8,2,2014,1492,,
martes,18,2,2014,2713,,
